역명,호선,구,동,상세주소,전화번호,loc1,loc2
청구,6,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",6311-5370,37.5603486,127.0138713
신당,6,중구,흥인동,서울특별시 중구 흥인동 162-1 신당역(6호선),6311-6350,37.56724614,127.0162245
동묘앞,6,종로구,창신동,서울특별시 종로구 창신동 263-2 동묘앞역(6호선),6311-6360,37.57277942,127.0156243
창신,6,종로구,창신동,서울특별시 종로구 창신동 20-8 창신역,6311-6370,37.57944963,127.0151898
보문,6,성북구,보문동,서울특별시 성북구 보문동 1가 127-1 보문역,6311-6380,37.58588764,127.0197047
안암(고대병원앞),6,성북구,안암동5가,서울특별시 성북구 안암동5가 146-1 안암역,6311-6390,37.58609223,127.0293718
고려대(종암),6,성북구,종암동,서울특별시 성북구 종암동 29-18 고려대역,6311-6400,37.58967889,127.0359263
월곡(동덕여대),6,성북구,하월곡동,서울특별시 성북구 하월곡동 35-1 월곡역,6311-6410,37.60174974,127.0414156
상월곡(한국과학기술연구원),6,성북구,상월곡동,서울특별시 성북구 상월곡동 26-1 상월곡역,6311-6420,37.6070863,127.0498306
돌곶이,6,성북구,석관동,서울특별시 성북구 석관동 349-8 돌곶이역,6311-6430,37.61060594,127.0571469
석계,6,노원구,월계동,서울특별시 노원구 월계동 25-2 석계역,6311-6440,37.61526951,127.0668172
태릉입구,6,노원구,공릉동,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",6311-7170,37.61914326,127.075136
화랑대(서울여대입구),6,노원구,공릉동,서울특별시 노원구 공릉동 285-2 화랑대역,6311-6460,37.61989588,127.083287
봉화산(서울의료원),6,중랑구,신내동,서울특별시 중랑구 신내동 643-1 봉화산역,6311-6470,37.61642372,127.0933156
장암,7,경기도 의정부시,장암동,경기도 의정부시 장암동 160-8 장암역,6311-7090,37.70015186,127.0531008
도봉산,7,도봉구,도봉동,서울특별시 도봉구 도봉동 38-3 도봉산역,6311-7100,37.68903419,127.0466671
수락산,7,노원구,상계동,서울특별시 노원구 상계동 1132-9 수락산역,6311-7110,37.67745485,127.0553492
마들,7,노원구,상계동,서울특별시 노원구 상계동 650 마들역,6311-7120,37.66761762,127.0570137
노원,7,노원구,상계동,서울특별시 노원구 상계동 729-0 노원역(7호선),6311-7130,37.65350815,127.0608067
중계,7,노원구,중계동,서울특별시 노원구 중계동 503-3 중계역,6311-7140,37.64269915,127.0651821
하계,7,노원구,하계동,서울특별시 노원구 하계동 273-5 하계역,6311-7150,37.63525287,127.0685276
공릉(서울과학기술대),7,노원구,공릉동,서울특별시 노원구 공릉동 385-4 공릉역,6311-7160,37.62576242,127.0727483
태릉입구,7,노원구,공릉동,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",6311-7170,37.61914326,127.075136
먹골,7,중랑구,묵동,서울특별시 중랑구 묵동 189-5 먹골역,6311-7180,37.61086376,127.0777177
중화,7,중랑구,중화동,서울특별시 중랑구 중화동 50-3 중화역,6311-7190,37.60180174,127.0794203
상봉(시외버스터미널),7,중랑구,상봉동,서울특별시 중랑구 상봉동 160-7 상봉역,6311-7200,37.59603299,127.0843197
면목,7,중랑구,면목동,서울특별시 중랑구 면목동 282-6 면목역,6311-7210,37.58921901,127.0873555
사가정,7,중랑구,면목동,서울특별시 중랑구 면목동 495 사가정역,6311-7220,37.58076022,127.0886803
용마산,7,중랑구,면목동,서울특별시 중랑구 면목동 1382-13 용마산역,6311-7230,37.57342084,127.0864687
중곡,7,광진구,중곡동,서울특별시 광진구 중곡동 273-2 중곡역,6311-7240,37.56552588,127.0840724
군자(능동),7,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",6311-5440,37.55672985,127.0805345
어린이대공원(세종대),7,광진구,화양동,서울특별시 광진구 화양동 164-1 어린이대공원역,6311-7260,37.54713429,127.0739627
건대입구,7,광진구,화양동,서울특별시 광진구 화양동 6-3 건대입구역(7호선),6311-7270,37.54029755,127.0707982
뚝섬유원지,7,광진구,자양동,서울특별시 광진구 자양동 73-2 뚝섬유원지역,6311-7280,37.5319492,127.0670069
청담,7,강남구,청담동,서울특별시 강남구 청담동 77-76 청담역,6311-7290,37.51872224,127.0492085
강남구청,7,강남구,삼성동,서울특별시 강남구 삼성동 111-44 강남구청역,6311-7300,37.51820416,127.0472191
